speaker,dialog,debate_num
Lester Holt,  comment on every topic but over the course of the next two hours we will hear from everyone wed also like to ask the audience to keep their reactions to a minimum we are not going to be shy about making sure the candidates stick to time tonight,1
Savannah G., all right so with that business out of the way we want to get to it and well start this evening with senator elizabeth warren senator good evening to you,1
Senator Warren, thank you its good to be here,1
Savannah G., you have many plans free college free childcare government healthcare cancellation of student debt new taxes new regulations the breakup of major corporations but this comes at a time when 71 of americans say the economy is doing well including 60 of democrats what do you say to those who worry this kind of significant change could be risky to the economy,1
Senator Warren, i think of it this way who is this economy really working for its doing great for a thinner and thinner slice at the top its doing great for giant drug companies its just not doing great for people who are trying to get a prescription filled its doing great for people who want to invest in private prisons just not for the african americans and latinx whose families were torn apart whose lives are destroyed and whose communities are ruined,1
Senator Warren, its doing great for giant oil companies that want to drill everywhere just not for the rest of us who are watching climate change bear down upon us when youve got a government when youve got an autonomy that does great for those with money and isnt doing great for everyone else that is corruption pure and simple we need to call it out we need to attack it head on and we need to make structural change in our government in our economy and in our country,1
Savannah G., senator klobuchar you called programs like free college something you might do if you were quote a magic genie to be blunt are the government programs and benefits that some of your rivals are offering giving your voters and people a false sense of whats actually achievable,1
Amy Klobachar, well first the economy we know that not everyone is sharing in this prosperity and donald trump just sits in the white house and gloats about whats going on when you have so many people that are having trouble affording college and having trouble affording their premiums i do get concerned about paying for college for rich kids i do but i think my plan is a good one and my plan would be to first of all make community college free and make sure that everyone else besides that top percentile gets help with their education my own dad and my sister got their first degrees with community college theres many paths to success as well as certifications,1
Amy Klobachar, secondly id use pell grants id double them from 6000 to 12000 a year and expand it to the number of families that get covered up to families that make up to 100000 then the third thing i would do is make it easier for students to pay off their student loans because i can tell you this if billionaires can pay off their yachts students should be able to pay off their student loans,1
Savannah G., thats time thank you congressman orourke what weve just been discussing and talking about is how much fundamental change to the economy is desirable and how much is actually doable in that vein some democrats want a marginal individual tax rate of 70 on the very highest earners those making more than 10 million a year would you support that if not what would your top individual rate be,1
Beto O’Rourke, this economy has got to work for everyone and right now we know that it isnt and its going to take all of us coming together to make sure that it does  right now we have a system that favors those who can pay for access and outcomes thats how you explain an economy that is rigged to corporations and to the very wealthiest a 2 trillion tax cut that favored corporations while they were sitting on record piles of cash and the very wealthiest in this country at a time of historic wealth inequality a new democracy that is revived because weve returned power to the people no packs no gerrymandering automatic and same day voter registration to bring in more voters and a new voting rights act to get rid of the barriers that are in place now,1
Savannah G., congressman orourke,1
Beto O’Rourke, thats how we each have a voice in our democracy and make this economy work for everybody,1
Savannah G., congressman thats time sir ill give you 10 seconds to answer if you want to answer the direct question would you support a 70 individual marginal tax rate yes no or pass,1
Beto O’Rourke, i would support a tax rate and a tax code that is fair to everyone tax capital,1
Savannah G., 70,1
Beto O’Rourke,  at the same rate that you tax ordinary income take that corporate tax rate up to 28,1
Savannah G., okay thats time,1
Beto O’Rourke,  you would generate the revenues you need to pay for the programs were talking about,1
Savannah G., thats time thank you senator booker there is a debate in this party right now about the role of corporations as you know senator warren in particular put out a plan to break up tech companies like facebook amazon and google youve said we should not be running around pointing at companies and breaking them up without any kind of process why do you disagree,1
Cory Booker, i dont think i disagree i think we have a serious problem in our country with corporate consolidation you see the evidence of that in how dignity is being stripped from labor we have people that work fulltime jobs and still cant make a living wage we see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs and you see that by just the fact that this is actually an economy thats hurting small businesses and not allowing them to compete,1
Cory Booker, one of the most aggressive bills in the senate to deal with corporate consolidation is mine about corporate consolidation in the ag sector i feel very strongly about the need to check the corporate consolidation and let the free market work ill tell you this i live in a low income black and brown community i see every single day that this economy is not working for average americans the indicators that are being used from gdp to wall streets rankings is not helping people in my community it is about time that we have economy that works for everybody not just the wealthiest in our nation,1
Savannah G., quickly senator booker you did say that you didnt think it was right to name names to name companies and single them out as senator warren has briefly why is that,1
Cory Booker, well again i will single out companies like halliburton or amazon that pay nothing in taxes and our need to change that when it comes to antitrust law what i will do is number one appoint judges that will enforce it number two have a doj and a federal trade commission that will go through the processes necessary to check this kind of corporate concentration at the end of the day we have too much of a problem with corporate power growing we see that with everything from citizens united and the way theyre trying to influence washington its about time that we have a president that fights for the people in this country,1
Savannah G., thats time sir,1
Cory Booker, we need to have someone thats a champion for them,1
Savannah G., thank you senator warren i mentioned you are you picking winners and losers,1
Senator Warren, the way i understand this is there is way too much consolidation now in giant industries in this country that hurts workers it hurts small businesses it hurts independent farmers it hurts our economy overall and it helps constrict real innovation and growth in this economy now look weve had the laws out there for a long time to be able to fight back whats been missing is courage courage in washington to take on the giants thats part of the corruption in this system,1
Senator Warren, it has been for too long that the monopolies have been making the campaign contributions have been funding the super pacs have been out there making sure that their influence is heard and felt in every single decision that gets made in washington where i want to start this is i want to return government to the people and that means calling out the names of the monopolies and saying i have the courage to go after them,1
Savannah G., thank you,1
Lester Holt, secretary castro the next question is for you democrats have been talking about the pay gap for decades what would you do to ensure that women are paid fairly in this country,1
Julian Castro, thank you very much for that question lester i grew up with a mother who raised my brother joaquin and me as a single parent and i know what its like to struggle i know what its like to rent a home and to worry about whether youre going to be able to pay the rent at the first of the month and to see a mom work very very hard and know that moms across this country are getting paid less simply because theyre women i would do several things starting with something we shouldve done a long time ago which is to pass the equal rights amendment finally in this country and also pursue legislation so that women are paid equal pay for equal work in this country its past time that we did that and we have to do this if we want to be the most prosperous nation in the 21st century we need to make sure that women are paid what they deserve,1
Lester Holt, all right thank you i want to put the same question to congresswoman gabbard your thoughts on equal pay,1
Tulsi Gabbard, well first of all lets recognize the situation were in that the american people deserve a president who will put your interests ahead of the rich and powerful thats not what we have right now i enlisted in the army national guard after the alqaeda terror attacks on 911 so i could go after those who had attacked us on that day i still serve as a major served over 16 years deployed twice in the middle east and in congress serve on the foreign affairs and armed services committees for over six years,1
Tulsi Gabbard, i know the importance of our national security as well as the terribly high cost of war and for too long our leaders have failed us taking us from one regime change war to the next leading us into a new cold war an arms race costing us trillions of our hard earned taxpayer dollars and countless lives this insanity must end as president i will take your hard earned taxpayer dollars and instead invest those dollars into serving your needs things like healthcare a green economy good paying jobs protecting our environment and so much more,1
Jose D.B., mayor de blasio good evening youre the mayor of the biggest city in the united states but its also one of the cities in the country with the greatest gap between the wealthy and the poor how would you address income inequality,1
Mayor de Blasio, well weve been addressing income inequality in new york city by raising wages by raising benefits by putting money back in the hands of working people 15 minimum wage paid sick days prek for all things that are making a huge difference in working peoples lives but let me tell you what were hearing here already in the first round of questions is that battle from the heart and soul of our party i want to make it clear this is supposed to be the party of working people,1
Mayor de Blasio, yes were supposed to be for 70 tax rate on the wealthy yes were supposed to be for free college free public college for our young people we are supposed to break up big corporations when theyre not serving our democracy this democratic party has to be strong and bold and progressive and in new york weve proven that we can do something very different,1
Mayor de Blasio, we can put money back in the hands of working people and let me tell you every time you talk about investing in people in their communities you hear folks say theres not enough money what i say to them every single time is theres plenty of money in this world theres plenty of money in this country its just in the wrong hands we democrats have to fix that,1
Jose D.B., congressman delaney do you agree,1
John Delaney, i think we need to do real things to help american workers and the american people right this is the issue that all of us here on the campaign trail we need to make sure everyone has a living wage and ive called for a doubling of the earned income tax credit raising the minimum wage and creating paid family leave that will create a situation where people actually have a living wage that gets right to workers then weve got to fix our public education system its not delivering the results our kids needs nor is college and post high school career and technical training programs doing that,1
John Delaney, im very different than everyone else here on this stage prior to being in congress i was an entrepreneur i started two businesses i created thousands of jobs i spent my whole career helping small to mid size businesses all over the country 5000 of them i supported the obama administration gave me an award for lending to disadvantaged communities i know how to create jobs we need to a short term strategy which is to put money in the pockets of workers with the earned income tax credit raising the minimum wage and creating paid family leave and then we need to have a longterm strategy to make sure this country is competitive and were creating jobs everywhere,1
Jose D.B., thank you,1
John Delaney,  in this country,1
Jose D.B., governor inslee how would you address income inequality,1
Jay Inslee, well im a little bit surprised i think plans are great but im a governor and we got to realize the people who brought us the weekend unions  folks it is not right that the ceo of mcdonalds makes 2100 times more than the people slinging hash at mcdonalds the next thing ill do is put people to work in the jobs of the present and the future,1
Jay Inslee, look at donald trump is simply wrong he says wind turbines cause cancer we know they cause jobs and we know that we can put millions of people to work in the clean energy jobs of the future carpenters ibws members machinists were doing it in my state today and then we can do what america always does lead the world and invent the future and put people to work thats what were going to do,1
Jose D.B., to congressman ryan president trump and you just referred to him promised that manufacturing jobs were all coming back to places like your home state of ohio can you make that same promise,1
Tim Ryan, yes i believe you can but the first lets say the president came he said dont sell your house to people in youngstown ohio and in his administration just in the last two years we lost 4000 jobs at a general motors facility that rippled throughout our community general motors got a tax cut general motors got a bail out and then they have the audacity to move a new car that theyre going to produce to mexico,1
Tim Ryan, ive had family members that have the unbolt a machine from the factory floor put it in a box and ship it to china my area where i come from in northeast ohio this issue were talking about here its been going on 40 years this is not a new phenomenon in the united states of america the bottom 60 havent seen a raise since 1980 meanwhile the top 1 controlled 90 of the wealth we need an industrial policy saying were going to dominate building electric vehicles theres going to be 30 million made in the next 10 years i want half of them made in the united states i want to dominate the solar industry,1
Jose D.B., thank you,1
Tim Ryan,  and manufacture those here in the united states,1
Jose D.B., senator warren are they coming back are these jobs coming back,1
Senator Warren, weve had an industrial policy in the united states for decades now and its basically been let giant corporations do whatever they want to do giant corporations have exactly one loyalty and that is to profits and if they can save a nickel by moving a job to mexico or to asia or to canada theyre going to do it,1
Senator Warren, heres what i propose for an industrial policy start with a place where theres a real need theres going to be a worldwide need for green technology ways to clean up the air ways to clean up the water and we can be the ones to provide that we need to go 10 fold in our research and development on green energy going forward and then we need to say any corporation can come and use that research they can make all kinds of products from it but they have to be manufactured right here in the united states of america and then we have to double down and sell it around the world theres a 23 trillion market coming for green products we should be the leaders and the owners and we should have that 12 million manufacturing,1
Lester Holt, thank you,1
Senator Warren,  jobs here in america we can do this,1
Lester Holt, all right were going to turn to the issue of healthcare right now and really try to understand where there may or may not be daylight between you many people watching at home have health insurance coverage through their employer who here would abolish their private health insurance in favor of a government run plan just a show hands start off with all right well senator klobuchar let me put the question to you youre one of the democrats who wants to keep private insurance in addition to a government healthcare plan why is an incremental approach in your view better than a sweeping overhaul,1
Amy Klobachar, well i think its a bold approach its something that barack obama wanted to do when we were working on the affordable care act and that is a public option i am just simply concerned about kicking half of america off of their health insurance in four years which is exactly what this bill says,1
Amy Klobachar, let me go on beyond that theres a much bigger issue in addition to that and that is pharmaceuticals the president literally went on tv on fox and said that peoples heads would spin when they see how much he would bring down pharmaceutical prices instead 2500 drugs have gone up in double digits since he came into office instead he gave 100 billion in giveaways to the pharma companies for the rest of us for the rest of america thats what we call at home all foam and no beer we got nothing out of it and so my proposal is to do something about pharma to take them on to allow negotiation under medicare to bring in less expensive drugs from other countries and pharma thinks they own washington well they dont own me,1
Lester Holt, your time is up thank you senator warren you signed onto bernie sanders medicare for all plan it would put essentially everybody on medicare and then eliminate private plans that offer similar coverage is that the plan or path that you would pursue as president,1
Senator Warren, yes im with bernie on medicare for all let me tell you why i spend a big chunk of my life studying why families go broke and one of the number one reasons is the cost of health care medical bills thats not just for people who dont have insurance its for people who have insurance look at the business model of an insurance company its to bring in as many dollars as they can in premiums and to pay out as few dollars as possible for your healthcare,1
Senator Warren, that leaves families with rising premiums rising copays and fighting with insurance companies to try to get the healthcare that their doctors say that they and their children need medicare for all solves that problem i understand there are a lot of politicians who say oh its just not possible we just cant do it its  have a lot of political reasons for this what theyre really telling you is they just wont fight for it well healthcare is a basic human right and i will fight for basic human rights ,1
Lester Holt, thank you congressman orourke when you ran for senate you also praised a bill that would replace private insurance this year youre saying youre no longer sure can you explain why,1
Beto O’Rourke, my goal is to ensure that every american is well enough to live to their full potential because they have health care in laredo texas i met a young man 27 years old told me that hed been to a doctor once in his life and on that visit he was told he had diabetes he was told he had glaucoma and he was told untreated because he doesnt have health care hell be dead before the age of 40 getting to guaranteed high quality universal health care as quickly and surely as possible has to be our goal the ability to afford your prescriptions and go to a primary care provider the ability to see a mental healthcare provider ,1
Beto O’Rourke, in texas the single provider of mental health care services is the county jail system today health care also has to mean that every woman can make her own decisions about her own body and has access to the care that makes that possible our plan says if youre uninsured we enroll you in medicare if youre insufficiently insured you cant afford your premiums we enroll you in medicare but if youre a member of a union that negotiated for a healthcare plan that you like because it works for you,1
Lester Holt, your time is up,1
Beto O’Rourke,  your family  youre able to keep it we preserve choice by making sure,1
Lester Holt, your time is up congressman but i do want to ask a followup on this one just to be very clear ill give you 10 seconds would you replace private insurance,1
Beto O’Rourke, no i think the choice is fundamental to our ability to get everybody cared for ,1
Mayor de Blasio, hey wait wait wait congressman orourke congressman orourke private insurance is not working for tens of millions of americans when you talk about the copays the deductibles the premiums the out of pocket expenses its not working,1
Beto O’Rourke, thats right so for those,1
Mayor de Blasio, how can you defend the system thats not working,1
Beto O’Rourke,  for whom its not working  they can choose medicare right for those not working they can choose medicare,1
Mayor de Blasio, congressman youve got to start by acknowledging the system is not working for people ,1
Beto O’Rourke, for the  workers in nevada who i listened to who negotiated for those plans theyre able to keep them,1
Mayor de Blasio, why are you defending private insurance ,1
